Model_Name,Model_Class,InputLayer,Lambda,Conv2D,Activation,Add,BatchNormalization,DepthwiseConv2D,GlobalAveragePooling2D,Reshape,UpSampling2D,Concatenate,Dropout,ZeroPadding2D,ReLU,MaxPooling2D,AveragePooling2D,Dense,Flatten,SeparableConv2D,Cropping2D,GRU,LSTM,Permute,Multiply,PReLU,LeakyReLU,Conv2DTranspose
mobilenetv2_ssd_640w_480h.h5,Object_Detection,YES,,YES,YES,YES,YES,YES,,YES,,YES,,YES,YES,,,,,,,,,,,,,
ssd512_512w_512h.h5,Object_Detection,YES,YES,YES,YES,,,,,YES,,YES,,YES,,YES,,,,,,,,,,,,
ssd300_300w_300h.h5,Object_Detection,YES,YES,YES,YES,,,,,YES,,YES,,YES,,YES,,,,,,,,,,,,
tiny_yolo_416w_416h.h5,Object_Detection,YES,,YES,,,YES,,,,YES,YES,,,,YES,,,,,,,,,,,YES,
SRCNN_300w_300h.h5,AI_Benchmark,,,YES,,,,,,,,,,,,,,,,,,,,,,,,
VDSR_vgg19_192w_192h.h5,AI_Benchmark,YES,,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,,
Inception_resnet_v1_299w_299h.h5,AI_Benchmark,YES,,YES,YES,YES,YES,,,,,YES,YES,,,YES,YES,YES,YES,,,,,,,,,
SRGAN_512w_512h.h5,AI_Benchmark,YES,,YES,,YES,YES,,,,,,,,,,,,,,,,,,,YES,,
ICNet_384w_384h.h5,AI_Benchmark,YES,,YES,YES,YES,YES,,,,YES,,,YES,,YES,YES,,,,,,,,,,,
Resnet_12_192w_128h.h5,AI_Benchmark,YES,,YES,YES,YES,YES,,,,,,,,,,,,,,,,,,,,,
"res50_1.00_3_512_(112%, 112, 3)_0.996_0.995_310.hdf5",Other_Models,YES,,YES,,YES,YES,,,,,,YES,YES,,,,YES,YES,,,,,,,,YES,
"res18_1.00_4_512_(112,112,3)_0.988_0.986_3.hdf5",Other_Models,YES,,YES,,YES,YES,,,,,,YES,YES,,,,YES,YES,,,,,,,,YES,
"res34_1.00_3_512_(112, 112, 3)_0.991_0.991_104.hdf5",Other_Models,YES,,YES,,YES,YES,,,,,,YES,YES,,,,YES,YES,,,,,,,,YES,
"res50_1.00_3_512_(112,112,3)_0.995_0.993_130.hdf5",Other_Models,YES,,YES,,YES,YES,,,,,,YES,YES,,,,YES,YES,,,,,,,,YES,
"res100_1.00_3_512_(112,112,3)_0.995_0.995_40.hdf5",Other_Models,YES,,YES,,YES,YES,,,,,,YES,YES,,,,YES,YES,,,,,,,YES,,
"res34_1.00_3_512_(112, 112, 3)_0.994_0.993_119.hdf5",Other_Models,YES,,YES,,YES,YES,,,,,,YES,YES,,,,YES,YES,,,,,,,YES,,
res28_3_256_0.988_0.979_142.hdf5,Other_Models,YES,,YES,,YES,YES,,,,,,YES,YES,,,,YES,YES,,,,,,,YES,,
detectron_frcnn_resnet50v1c4_640w_800h.h5,Detectron,YES,,YES,YES,YES,YES,,,,,,,YES,YES,YES,,,,,,,,,,,,
detectron_frcnn_resnet50v1c4_head_600w_800h.h5,Detectron,YES,,YES,YES,YES,YES,,,,,,,,,,YES,YES,YES,,,,,,,,,
detectron_frcnn_resnet50v1c4_head_640w_800h.h5,Detectron,YES,,YES,YES,YES,YES,,,,,,,,,,YES,YES,YES,,,,,,,,,
detectron_frcnn_resnet50v1c4_600w_800h.h5,Detectron,YES,,YES,YES,YES,YES,,,,,,,YES,YES,YES,,,,,,,,,,,,
detectron_fpn_mfrcnn_resnet101v1_head_640w_800h.h5,Detectron,YES,,YES,YES,,,,,,,,,,,,,YES,YES,,,,,,,,,YES
detectron_fpn_mfrcnn_resnet101v1_640w_800h.h5,Detectron,YES,,YES,YES,YES,YES,,,,YES,,,,YES,YES,,,,,,,,,,,,
detectron_fpn_mfrcnn_resnet50v1_head_640w_800h.h5,Detectron,YES,,YES,YES,,,,,,,,,,,,,YES,YES,,,,,,,,,YES
detectron_fpn_mfrcnn_resnet50v1_640w_800h.h5,Detectron,YES,,YES,YES,YES,YES,,,,YES,,,YES,YES,YES,,,,,,,,,,,,
detectron_fpn_frcnn_resnet101v1_head_640w_800h.h5,Detectron,YES,,,,,,,,,,,,,,,,YES,YES,,,,,,,,,
detectron_fpn_frcnn_resnet101v1_640w_800h.h5,Detectron,YES,,YES,YES,YES,YES,,,,YES,,,,YES,YES,,,,,,,,,,,,
detectron_mfrcnn_resnet50v1c4_head_640w_800h.h5,Detectron,YES,,YES,YES,YES,YES,,,,,,,,,,YES,YES,YES,,,,,,,,,YES
detectron_mfrcnn_resnet50v1c4_640w_800h.h5,Detectron,YES,,YES,YES,YES,YES,,,,,,,YES,YES,YES,,,,,,,,,,,,
detectron_fpn_frcnn_resnet50v1_head_640w_800h.h5,Detectron,YES,,,,,,,,,,,,,,,,YES,YES,,,,,,,,,
detectron_fpn_frcnn_resnet50v1_640w_800h.h5,Detectron,YES,,YES,YES,YES,YES,,,,YES,,,YES,YES,YES,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
